char,height,origin_path,path,width,x,y,isTrain,label
T,105,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02317.jpg,char_data/T/DSC02317_1.jpg,63,101,225,True,42
R,94,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02317.jpg,char_data/R/DSC02317_1.jpg,59,165,231,True,40
E,109,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02317.jpg,char_data/E/DSC02317_1.jpg,58,218,228,True,27
N,97,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02317.jpg,char_data/N/DSC02317_1.jpg,64,271,227,True,36
D,89,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02317.jpg,char_data/D/DSC02317_1.jpg,79,328,223,True,26
I,93,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02317.jpg,char_data/I/DSC02317_1.jpg,35,405,224,True,31
C,105,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02317.jpg,char_data/C/DSC02317_1.jpg,75,439,202,True,25
A,113,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02317.jpg,char_data/A/DSC02317_1.jpg,84,518,205,True,23
M,85,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02423.jpg,char_data/M/DSC02423_1.jpg,75,0,149,True,35
O,78,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02423.jpg,char_data/O/DSC02423_2.jpg,81,82,148,True,37
N,81,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02423.jpg,char_data/N/DSC02423_2.jpg,72,175,149,True,36
O,73,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02423.jpg,char_data/O/DSC02423_3.jpg,83,249,157,True,37
K,82,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02423.jpg,char_data/K/DSC02423_1.jpg,65,338,155,True,33
R,84,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02423.jpg,char_data/R/DSC02423_2.jpg,68,399,153,True,40
A,73,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02423.jpg,char_data/A/DSC02423_3.jpg,62,467,163,True,23
F,71,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02423.jpg,char_data/F/DSC02423_2.jpg,41,531,168,True,28
T,71,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02423.jpg,char_data/T/DSC02423_2.jpg,55,572,170,True,42
H,51,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02423.jpg,char_data/H/DSC02423_1.jpg,50,137,233,True,30
A,45,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02423.jpg,char_data/A/DSC02423_4.jpg,37,188,239,True,23
N,49,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02423.jpg,char_data/N/DSC02423_3.jpg,47,225,238,True,36
D,52,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02423.jpg,char_data/D/DSC02423_1.jpg,44,272,238,True,26
I,47,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02423.jpg,char_data/I/DSC02423_1.jpg,18,316,239,True,31
C,46,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02423.jpg,char_data/C/DSC02423_1.jpg,36,336,239,True,25
R,47,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02423.jpg,char_data/R/DSC02423_3.jpg,34,373,239,True,40
A,40,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02423.jpg,char_data/A/DSC02423_5.jpg,38,407,242,True,23
F,43,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02423.jpg,char_data/F/DSC02423_3.jpg,25,445,244,True,28
T,44,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02423.jpg,char_data/T/DSC02423_3.jpg,44,470,244,True,42
I,107,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02629.jpg,char_data/I/DSC02629_1.jpg,35,32,306,True,31
C,109,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02629.jpg,char_data/C/DSC02629_2.jpg,70,65,301,True,25
E,118,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02629.jpg,char_data/E/DSC02629_3.jpg,67,130,303,True,27
C,103,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02629.jpg,char_data/C/DSC02629_3.jpg,67,236,304,True,25
O,101,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02629.jpg,char_data/O/DSC02629_1.jpg,70,301,304,True,37
F,90,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02629.jpg,char_data/F/DSC02629_2.jpg,53,373,306,True,28
F,93,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02629.jpg,char_data/F/DSC02629_3.jpg,55,423,303,True,28
E,93,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02629.jpg,char_data/E/DSC02629_4.jpg,56,478,304,True,27
E,88,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02629.jpg,char_data/E/DSC02629_5.jpg,61,532,306,True,27
L,95,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02633.jpg,char_data/L/DSC02633_1.jpg,65,13,175,True,34
O,97,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02633.jpg,char_data/O/DSC02633_2.jpg,63,77,173,True,37
V,104,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02633.jpg,char_data/V/DSC02633_1.jpg,62,140,172,True,44
E,97,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02633.jpg,char_data/E/DSC02633_2.jpg,64,202,179,True,27
H,97,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02633.jpg,char_data/H/DSC02633_1.jpg,68,305,181,True,30
O,96,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02633.jpg,char_data/O/DSC02633_3.jpg,60,373,180,True,37
U,92,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02633.jpg,char_data/U/DSC02633_1.jpg,64,434,182,True,43
S,95,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02633.jpg,char_data/S/DSC02633_1.jpg,63,494,187,True,41
E,94,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02633.jpg,char_data/E/DSC02633_3.jpg,53,555,185,True,27
C,78,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02857.jpg,char_data/C/DSC02857_1.jpg,52,85,200,True,25
a,67,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02857.jpg,char_data/a/DSC02857_2.jpg,41,138,210,True,51
l,79,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02857.jpg,char_data/l/DSC02857_2.jpg,25,179,202,True,63
l,84,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02857.jpg,char_data/l/DSC02857_3.jpg,29,204,201,True,63
f,85,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02857.jpg,char_data/f/DSC02857_1.jpg,39,244,200,True,57
o,66,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02857.jpg,char_data/o/DSC02857_1.jpg,45,283,212,True,66
r,70,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02857.jpg,char_data/r/DSC02857_2.jpg,42,329,211,True,69
P,80,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02857.jpg,char_data/P/DSC02857_2.jpg,58,389,198,True,38
a,69,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02857.jpg,char_data/a/DSC02857_3.jpg,45,448,211,True,51
p,69,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02857.jpg,char_data/p/DSC02857_3.jpg,45,494,211,True,67
e,68,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02857.jpg,char_data/e/DSC02857_1.jpg,46,539,209,True,56
r,66,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02857.jpg,char_data/r/DSC02857_3.jpg,41,583,209,True,69
C,95,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02858.jpg,char_data/C/DSC02858_1.jpg,61,3,297,True,25
a,77,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02858.jpg,char_data/a/DSC02858_2.jpg,49,62,311,True,51
l,84,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02858.jpg,char_data/l/DSC02858_2.jpg,31,112,306,True,63
l,88,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02858.jpg,char_data/l/DSC02858_3.jpg,33,140,303,True,63
f,97,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02858.jpg,char_data/f/DSC02858_1.jpg,42,190,301,True,57
o,74,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02858.jpg,char_data/o/DSC02858_1.jpg,56,229,318,True,66
r,77,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02858.jpg,char_data/r/DSC02858_2.jpg,42,285,316,True,69
p,94,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02858.jpg,char_data/p/DSC02858_2.jpg,61,356,304,True,67
a,77,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02858.jpg,char_data/a/DSC02858_3.jpg,49,417,319,True,51
p,80,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02858.jpg,char_data/p/DSC02858_3.jpg,54,464,320,True,67
e,81,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02858.jpg,char_data/e/DSC02858_1.jpg,51,519,318,True,56
r,85,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC02858.jpg,char_data/r/DSC02858_3.jpg,40,570,315,True,69
c,65,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03026.jpg,char_data/c/DSC03026_1.jpg,66,67,163,True,53
a,53,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03026.jpg,char_data/a/DSC03026_2.jpg,43,130,163,True,51
s,51,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03026.jpg,char_data/s/DSC03026_1.jpg,47,173,162,True,70
u,51,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03026.jpg,char_data/u/DSC03026_2.jpg,52,219,159,True,72
a,47,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03026.jpg,char_data/a/DSC03026_3.jpg,41,274,164,True,51
l,56,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03026.jpg,char_data/l/DSC03026_1.jpg,35,315,154,True,63
P,90,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03026.jpg,char_data/P/DSC03026_1.jpg,63,368,123,True,38
u,61,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03026.jpg,char_data/u/DSC03026_3.jpg,59,431,146,True,72
b,82,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03026.jpg,char_data/b/DSC03026_1.jpg,60,489,124,True,52
P,63,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03075.jpg,char_data/P/DSC03075_1.jpg,47,78,342,True,38
h,58,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03075.jpg,char_data/h/DSC03075_1.jpg,25,123,342,True,59
i,62,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03075.jpg,char_data/i/DSC03075_2.jpg,15,146,340,True,60
l,66,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03075.jpg,char_data/l/DSC03075_3.jpg,13,161,340,True,63
o,42,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03075.jpg,char_data/o/DSC03075_2.jpg,24,175,357,True,66
l,53,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03075.jpg,char_data/l/DSC03075_4.jpg,14,197,352,True,63
o,40,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03075.jpg,char_data/o/DSC03075_3.jpg,27,211,360,True,66
g,54,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03075.jpg,char_data/g/DSC03075_1.jpg,26,237,358,True,58
y,44,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03075.jpg,char_data/y/DSC03075_1.jpg,33,263,358,True,76
L,52,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03075.jpg,char_data/L/DSC03075_5.jpg,29,308,350,True,34
i,51,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03075.jpg,char_data/i/DSC03075_3.jpg,13,336,349,True,60
t,54,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03075.jpg,char_data/t/DSC03075_2.jpg,15,350,347,True,71
e,35,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03075.jpg,char_data/e/DSC03075_2.jpg,30,363,362,True,56
r,44,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03075.jpg,char_data/r/DSC03075_2.jpg,20,391,358,True,69
a,43,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03075.jpg,char_data/a/DSC03075_1.jpg,23,412,357,True,51
t,49,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03075.jpg,char_data/t/DSC03075_3.jpg,22,433,348,True,71
u,46,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03075.jpg,char_data/u/DSC03075_1.jpg,22,455,356,True,72
r,40,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03075.jpg,char_data/r/DSC03075_3.jpg,16,478,356,True,69
e,39,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03075.jpg,char_data/e/DSC03075_3.jpg,34,494,356,True,56
