char,height,origin_path,path,seg_areas,src_height,src_width,width,x1,x2,y1,y2,isTrain,label
8,24,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/042.JPG,char_data/8/042.JPG_2.jpg,456,480,640,19,485,504,321,345,True,10
8,27,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/056.JPG,char_data/8/056.JPG_2.jpg,432,480,640,16,513,529,249,276,True,10
8,32,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/077.JPG,char_data/8/077.JPG_2.jpg,544,480,640,17,276,293,248,280,True,10
8,37,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02364.JPG,char_data/8/DSC02364.JPG_6.jpg,518,480,640,14,325,339,350,387,True,10
8,36,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02364.JPG,char_data/8/DSC02364.JPG_7.jpg,756,480,640,21,486,507,353,389,True,10
8,34,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02364.JPG,char_data/8/DSC02364.JPG_8.jpg,544,480,640,16,549,565,353,387,True,10
8,44,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02415.JPG,char_data/8/DSC02415.JPG_2.jpg,1144,480,640,26,393,419,250,294,True,10
8,42,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02450.JPG,char_data/8/DSC02450.JPG_6.jpg,1386,480,640,33,109,142,222,264,True,10
8,43,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02450.JPG,char_data/8/DSC02450.JPG_7.jpg,1462,480,640,34,265,299,222,265,True,10
8,41,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02450.JPG,char_data/8/DSC02450.JPG_8.jpg,1189,480,640,29,353,382,221,262,True,10
8,82,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02491.JPG,char_data/8/DSC02491.JPG_2.jpg,3772,480,640,46,238,284,315,397,True,10
8,44,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor2/DSC03053.JPG,char_data/8/DSC03053.JPG_4.jpg,1188,480,640,27,335,362,128,172,True,10
8,42,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor2/DSC03053.JPG,char_data/8/DSC03053.JPG_5.jpg,1176,480,640,28,513,541,128,170,True,10
8,54,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor2/DSC03161.JPG,char_data/8/DSC03161.JPG_4.jpg,1674,480,640,31,138,169,221,275,True,10
8,50,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor2/DSC03161.JPG,char_data/8/DSC03161.JPG_5.jpg,1650,480,640,33,200,233,223,273,True,10
8,32,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor2/DSC03162.JPG,char_data/8/DSC03162.JPG_2.jpg,448,480,640,14,425,439,149,181,True,10
8,58,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor2/DSC03201.JPG,char_data/8/DSC03201.JPG_2.jpg,2146,480,640,37,364,401,11,69,True,10
8,33,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor2/DSC03436.JPG,char_data/8/DSC03436.JPG_2.jpg,825,480,640,25,221,246,126,159,True,10
8,65,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor2/DSC04163.JPG,char_data/8/DSC04163.JPG_2.jpg,2535,480,640,39,194,233,316,381,True,10
8,50,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor3/P1010086.JPG,char_data/8/P1010086.JPG_6.jpg,1550,480,640,31,423,454,96,146,True,10
8,49,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor3/P1010086.JPG,char_data/8/P1010086.JPG_7.jpg,1323,480,640,27,453,480,96,145,True,10
8,22,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor3/크기변환_P1010076.JPG,char_data/8/크기변환_P1010076.JPG_6.jpg,242,480,640,11,581,592,181,203,True,10
8,23,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor3/크기변환_P1010076.JPG,char_data/8/크기변환_P1010076.JPG_7.jpg,207,480,640,9,595,604,182,205,True,10
8,24,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor3/크기변환_P1010076.JPG,char_data/8/크기변환_P1010076.JPG_8.jpg,360,480,640,15,611,626,179,203,True,10
8,59,kaist_dataset/English/Digital_Camera/(E.S)E-night/DSC02610.JPG,char_data/8/DSC02610.JPG_4.jpg,2006,480,640,34,50,84,388,447,True,10
8,52,kaist_dataset/English/Digital_Camera/(E.S)E-night/DSC02610.JPG,char_data/8/DSC02610.JPG_5.jpg,2132,480,640,41,265,306,378,430,True,10
8,30,kaist_dataset/English/Digital_Camera/(E.S)F-others/DSC02923.JPG,char_data/8/DSC02923.JPG_4.jpg,360,480,640,12,295,307,401,431,True,10
8,31,kaist_dataset/English/Digital_Camera/(E.S)F-others/DSC02923.JPG,char_data/8/DSC02923.JPG_5.jpg,589,480,640,19,338,357,395,426,True,10
8,42,kaist_dataset/English/Digital_Camera/(E.S)F-others/m.jpg,char_data/8/m.jpg_2.jpg,672,240,320,16,111,127,171,213,True,10
8,48,kaist_dataset/Korean/Digital_Camera/A-shadow/2007-12-09-day-exterior-025.jpg,char_data/8/2007-12-09-day-exterior-025.jpg_4.jpg,1776,1200,1600,37,918,955,735,783,True,10
8,54,kaist_dataset/Korean/Digital_Camera/A-shadow/2007-12-09-day-exterior-025.jpg,char_data/8/2007-12-09-day-exterior-025.jpg_5.jpg,1728,1200,1600,32,1060,1092,735,789,True,10
8,73,kaist_dataset/Korean/Digital_Camera/A-shadow/2007-12-09-day-exterior-026.jpg,char_data/8/2007-12-09-day-exterior-026.jpg_2.jpg,3212,1200,1600,44,875,919,754,827,True,10
8,93,kaist_dataset/Korean/Digital_Camera/A-shadow/2007-12-09-day-exterior-031.jpg,char_data/8/2007-12-09-day-exterior-031.jpg_4.jpg,5580,1200,1600,60,543,603,658,751,True,10
8,78,kaist_dataset/Korean/Digital_Camera/A-shadow/2007-12-09-day-exterior-031.jpg,char_data/8/2007-12-09-day-exterior-031.jpg_5.jpg,3744,1200,1600,48,841,889,667,745,True,10
8,33,kaist_dataset/Korean/Digital_Camera/A-shadow/2007-12-09-day-exterior-040.jpg,char_data/8/2007-12-09-day-exterior-040.jpg_4.jpg,726,1200,1600,22,958,980,815,848,True,10
8,33,kaist_dataset/Korean/Digital_Camera/A-shadow/2007-12-09-day-exterior-040.jpg,char_data/8/2007-12-09-day-exterior-040.jpg_5.jpg,693,1200,1600,21,1076,1097,815,848,True,10
8,36,kaist_dataset/Korean/Digital_Camera/A-shadow/DSC02598.JPG,char_data/8/DSC02598.JPG_4.jpg,792,480,640,22,501,523,415,451,True,10
8,168,kaist_dataset/Korean/Digital_Camera/A-shadow/DSC02670.JPG,char_data/8/DSC02670.JPG_2.jpg,14112,480,640,84,6,90,24,192,True,10
8,51,kaist_dataset/Korean/Digital_Camera/A-shadow/DSC03536.JPG,char_data/8/DSC03536.JPG_4.jpg,1530,480,640,30,94,124,271,322,True,10
8,75,kaist_dataset/Korean/Digital_Camera/A-shadow/DSC03536.JPG,char_data/8/DSC03536.JPG_5.jpg,3150,480,640,42,226,268,244,319,True,10
8,132,kaist_dataset/Korean/Digital_Camera/A-shadow/DSC04300.JPG,char_data/8/DSC04300.JPG_2.jpg,8580,480,640,65,97,162,222,354,True,10
8,54,kaist_dataset/Korean/Digital_Camera/A-shadow/DSC04315.JPG,char_data/8/DSC04315.JPG_2.jpg,1944,480,640,36,104,140,410,464,True,10
8,29,kaist_dataset/Korean/Digital_Camera/B-light/DSC02987.JPG,char_data/8/DSC02987.JPG_10.jpg,377,480,640,13,405,418,277,306,True,10
8,28,kaist_dataset/Korean/Digital_Camera/B-light/DSC02987.JPG,char_data/8/DSC02987.JPG_11.jpg,336,480,640,12,511,523,280,308,True,10
8,28,kaist_dataset/Korean/Digital_Camera/B-light/DSC02987.JPG,char_data/8/DSC02987.JPG_12.jpg,392,480,640,14,523,537,278,306,True,10
8,31,kaist_dataset/Korean/Digital_Camera/B-light/DSC02987.JPG,char_data/8/DSC02987.JPG_13.jpg,403,480,640,13,557,570,279,310,True,10
8,34,kaist_dataset/Korean/Digital_Camera/B-light/DSC02987.JPG,char_data/8/DSC02987.JPG_14.jpg,476,480,640,14,570,584,277,311,True,10
8,20,kaist_dataset/Korean/Digital_Camera/E-night/103.jpg,char_data/8/103.jpg_2.jpg,120,480,640,6,177,183,313,333,True,10
8,59,kaist_dataset/Korean/Digital_Camera/E-night/DSC02594.JPG,char_data/8/DSC02594.JPG_6.jpg,2714,480,640,46,92,138,378,437,True,10
8,58,kaist_dataset/Korean/Digital_Camera/E-night/DSC02594.JPG,char_data/8/DSC02594.JPG_7.jpg,2088,480,640,36,334,370,371,429,True,10
8,57,kaist_dataset/Korean/Digital_Camera/E-night/DSC02594.JPG,char_data/8/DSC02594.JPG_8.jpg,2394,480,640,42,424,466,372,429,True,10
8,45,kaist_dataset/Korean/Digital_Camera/E-night/DSC02597.JPG,char_data/8/DSC02597.JPG_6.jpg,1530,480,640,34,374,408,290,335,True,10
8,55,kaist_dataset/Korean/Digital_Camera/E-night/DSC02597.JPG,char_data/8/DSC02597.JPG_7.jpg,1705,480,640,31,510,541,289,344,True,10
8,58,kaist_dataset/Korean/Digital_Camera/E-night/DSC02597.JPG,char_data/8/DSC02597.JPG_8.jpg,1798,480,640,31,573,604,285,343,True,10
8,33,kaist_dataset/Korean/Digital_Camera/E-night/DSC02626.JPG,char_data/8/DSC02626.JPG_4.jpg,528,480,640,16,85,101,377,410,True,10
8,32,kaist_dataset/Korean/Digital_Camera/E-night/DSC02626.JPG,char_data/8/DSC02626.JPG_5.jpg,544,480,640,17,270,287,368,400,True,10
8,49,kaist_dataset/Korean/Digital_Camera/E-night/DSC02645.JPG,char_data/8/DSC02645.JPG_2.jpg,1568,480,640,32,295,327,333,382,True,10
8,41,kaist_dataset/Korean/Digital_Camera/E-night/DSC02649.JPG,char_data/8/DSC02649.JPG_2.jpg,1066,480,640,26,445,471,393,434,True,10
8,37,kaist_dataset/Korean/Digital_Camera/E-night/DSC02658.JPG,char_data/8/DSC02658.JPG_2.jpg,1036,480,640,28,213,241,356,393,True,10
8,48,kaist_dataset/Korean/Digital_Camera/E-night/DSC03515.JPG,char_data/8/DSC03515.JPG_2.jpg,864,480,640,18,562,580,270,318,True,10
8,29,kaist_dataset/Korean/Digital_Camera/E-night/P1010146.JPG,char_data/8/P1010146.JPG_2.jpg,435,480,640,15,289,304,250,279,True,10
8,25,kaist_dataset/Korean/Digital_Camera/E-night/P1010149.JPG,char_data/8/P1010149.JPG_2.jpg,275,480,640,11,549,560,242,267,True,10
8,50,kaist_dataset/Korean/Digital_Camera/G-others/2007-12-08-day-045.jpg,char_data/8/2007-12-08-day-045.jpg_6.jpg,950,1200,1600,19,102,121,795,845,True,10
8,48,kaist_dataset/Korean/Digital_Camera/G-others/2007-12-08-day-045.jpg,char_data/8/2007-12-08-day-045.jpg_7.jpg,912,1200,1600,19,157,176,791,839,True,10
8,44,kaist_dataset/Korean/Digital_Camera/G-others/2007-12-08-day-045.jpg,char_data/8/2007-12-08-day-045.jpg_8.jpg,660,1200,1600,15,193,208,790,834,True,10
8,82,kaist_dataset/Korean/Digital_Camera/G-others/2007-12-08-day-108.jpg,char_data/8/2007-12-08-day-108.jpg_8.jpg,3608,1200,1600,44,728,772,632,714,True,10
8,79,kaist_dataset/Korean/Digital_Camera/G-others/2007-12-08-day-108.jpg,char_data/8/2007-12-08-day-108.jpg_9.jpg,3081,1200,1600,39,919,958,697,776,True,10
8,80,kaist_dataset/Korean/Digital_Camera/G-others/2007-12-08-day-108.jpg,char_data/8/2007-12-08-day-108.jpg_10.jpg,3120,1200,1600,39,808,847,745,825,True,10
8,75,kaist_dataset/Korean/Digital_Camera/G-others/2007-12-08-day-108.jpg,char_data/8/2007-12-08-day-108.jpg_11.jpg,3075,1200,1600,41,938,979,783,858,True,10
